include,title,abstract,doi,literature_id,openalex_id
True,,,https://doi.org/10.1016/s0006-3223(98)00291-1,10071708,https://openalex.org/W2081095472
False,,,https://doi.org/10.1016/s0006-3223(98)00367-9,10071726,https://openalex.org/W2037491528
False,,,https://doi.org/10.1056/nejm199903113401003,10072410,https://openalex.org/W4239283954
False,,,https://doi.org/10.1056/nejm199903113401011,10072418,https://openalex.org/W1977576064
False,,,https://doi.org/10.1159/000026565,10072664,https://openalex.org/W2071658501
False,,,https://doi.org/10.1017/s0033291798007673,10077298,https://openalex.org/W2164169828
False,,,https://doi.org/10.1001/archpsyc.56.3.241,10078501,https://openalex.org/W2154849243
True,,,https://doi.org/10.4088/jcp.v60n0207,10084637,https://openalex.org/W1993818042
False,,,https://doi.org/10.1097/00001756-199901180-00011,10094133,https://openalex.org/W2063107423
False,,,https://doi.org/10.1111/j.1600-0447.1999.tb00972.x,10100910,https://openalex.org/W2039457372
False,,,https://doi.org/10.2165/00019053-199508030-00004,10155617,https://openalex.org/W193513270
False,,,https://doi.org/10.2165/00019053-199711010-00005,10172917,https://openalex.org/W1994519701
False,,,,10178498,https://openalex.org/W2406007387
True,,,https://doi.org/10.1016/s0893-133x(98)00090-6,10192829,https://openalex.org/W2007865301
False,,,https://doi.org/10.1176/ajp.156.4.610,10200742,https://openalex.org/W2129827461
False,,,https://doi.org/10.1097/00008480-199904000-00013,10202629,https://openalex.org/W2086719483
True,,,https://doi.org/10.1192/bjp.174.1.15,10211146,https://openalex.org/W1974783484
False,,,https://doi.org/10.1192/bjp.174.1.23,10211147,https://openalex.org/W2002691423
False,,,https://doi.org/10.1097/00004714-199904000-00025,10211930,https://openalex.org/W2326411887
False,,,https://doi.org/10.1016/s0165-1781(99)00002-5,10220013,https://openalex.org/W2146686269
False,,,https://doi.org/10.1097/00004850-199903000-00012,10220130,https://openalex.org/W2095520474
False,,,https://doi.org/10.4088/jcp.v60n0402,10221280,https://openalex.org/W2047660590
False,,,https://doi.org/10.1177/026988119901300108,10221361,https://openalex.org/W2082482584
True,,,https://doi.org/10.1016/s0920-9964(98)00145-5,10227103,https://openalex.org/W2014616152
False,,,https://doi.org/10.1007/s002130050902,10229062,https://openalex.org/W2061605465
False,,,https://doi.org/10.1097/00019442-199905000-00006,10322240,https://openalex.org/W2067790056
True,,,https://doi.org/10.1176/ajp.156.5.702,10327902,https://openalex.org/W2109442247
False,,,https://doi.org/10.1176/ps.50.5.704,10332914,https://openalex.org/W2095611323
False,,,https://doi.org/10.1002/1531-8257(199905)14:3<468::aid-mds1013>3.0.co;2-m,10348471,https://openalex.org/W2166990920
False,,,https://doi.org/10.1016/s0006-3223(98)00146-2,10349044,https://openalex.org/W2050172962
False,,,https://doi.org/10.1007/0-306-47521-9_8,10349067,https://openalex.org/W1560858304
False,,,https://doi.org/10.1097/00004714-199906000-00015,10350037,https://openalex.org/W2058694703
False,,,https://doi.org/10.1016/s0165-0327(98)00076-7,10357026,https://openalex.org/W2097417981
False,,,https://doi.org/10.1001/archpsyc.56.6.565,10359474,https://openalex.org/W2014442435
True,,,https://doi.org/10.1176/ajp.156.6.863,10360124,https://openalex.org/W2043671457
False,,,https://doi.org/10.1097/00007691-199906000-00017,10365650,https://openalex.org/W1993859290
False,,,https://doi.org/10.1111/j.1532-5415.1999.tb01595.x,10366172,https://openalex.org/W2035560842
False,,,https://doi.org/10.1016/s0278-5846(98)00087-6,10368852,https://openalex.org/W2054133784
